mass, coupling
1.03861e-3, 3.91213e-13
1.10494e-3, 4.34125e-13
1.17550e-3, 4.85472e-13
1.25057e-3, 5.38031e-13
1.33044e-3, 5.93224e-13
1.41540e-3, 6.53238e-13
1.50579e-3, 7.14717e-13
1.60195e-3, 7.81982e-13
1.70425e-3, 8.55578e-13
1.81309e-3, 9.36101e-13
1.92887e-3, 1.02289e-12
2.05205e-3, 1.10401e-12
2.18958e-3, 1.23036e-12
2.32360e-3, 1.32964e-12
2.47083e-3, 1.46581e-12
2.62229e-3, 1.59261e-12
2.79649e-3, 1.76375e-12
2.98067e-3, 1.96477e-12
3.16507e-3, 2.14417e-12
3.36720e-3, 2.34602e-12
3.58224e-3, 2.62007e-12
3.81102e-3, 2.92244e-12
4.05440e-3, 3.25553e-12
4.31333e-3, 3.62657e-12
4.58880e-3, 4.04511e-12
4.88185e-3, 4.51194e-12
5.19363e-3, 5.05858e-12
5.52532e-3, 5.66417e-12
5.87819e-3, 6.35041e-12
6.25360e-3, 7.13811e-12
6.65298e-3, 8.00293e-12
7.07787e-3, 8.99561e-12
7.52990e-3, 1.01244e-11
8.01079e-3, 1.13949e-11
8.52241e-3, 1.28578e-11
9.06669e-3, 1.45271e-11
9.64575e-3, 1.64554e-11
1.02618e-2, 1.86158e-11
1.09172e-2, 2.10868e-11
1.16144e-2, 2.40089e-11
1.23562e-2, 2.72658e-11
1.31453e-2, 3.10044e-11
1.39849e-2, 3.53917e-11
1.48780e-2, 4.05037e-11
1.58282e-2, 4.61759e-11
1.68392e-2, 5.28457e-11
1.79146e-2, 6.04012e-11
1.90588e-2, 6.93036e-11
2.02760e-2, 7.96203e-11
2.15710e-2, 9.12381e-11
2.29487e-2, 1.04820e-10
2.44144e-2, 1.21044e-10
2.59737e-2, 1.39421e-10
2.76326e-2, 1.60795e-10
2.93975e-2, 1.85445e-10
3.12751e-2, 2.14699e-10
3.32726e-2, 2.49529e-10
3.53977e-2, 2.89637e-10
3.76585e-2, 3.35760e-10
4.00637e-2, 3.92239e-10
4.26226e-2, 4.58220e-10
4.53449e-2, 5.35300e-10
4.82412e-2, 6.28567e-10
5.13224e-2, 7.40936e-10
5.46004e-2, 8.65573e-10
5.80878e-2, 1.01900e-9
6.17979e-2, 1.19963e-9
6.57451e-2, 1.41772e-9
6.99443e-2, 1.67547e-9
7.44118e-2, 1.98007e-9
7.91646e-2, 2.34006e-9
8.42211e-2, 2.77974e-9
8.96005e-2, 3.29356e-9
9.53235e-2, 3.91239e-9
1.01412e-1, 4.66545e-9
1.07890e-1, 5.56346e-9
1.14781e-1, 6.65995e-9
1.22112e-1, 7.96230e-9
1.29912e-1, 9.55609e-9
1.38210e-1, 1.14984e-8
1.47038e-1, 1.39247e-8
1.56431e-1, 1.69063e-8
1.66423e-1, 2.05793e-8
1.77053e-1, 2.52440e-8
1.88363e-1, 3.10857e-8
2.00396e-1, 3.84270e-8
2.13197e-1, 4.76244e-8
2.26815e-1, 5.91750e-8
2.41304e-1, 7.37162e-8
2.56719e-1, 9.21854e-8
2.73118e-1, 1.15430e-7
2.90565e-1, 1.46029e-7
3.09127e-1, 1.84503e-7
3.28875e-1, 2.38568e-7
3.49886e-1, 3.12063e-7
3.72240e-1, 4.16678e-7
3.94911e-1, 5.74306e-7
4.15441e-1, 7.84325e-7
4.28508e-1, 9.32592e-7
