"mass","coupling"
0.00103861,1.11104e-14
0.00110494,1.23291e-14
0.0011755,1.37874e-14
0.00125057,1.52801e-14
0.00133044,1.68476e-14
0.0014154,1.8552e-14
0.00150579,2.0298e-14
0.00160195,2.22083e-14
0.00170425,2.42984e-14
0.00181309,2.65853e-14
0.00192887,2.90501e-14
0.00205205,3.13539e-14
0.00218958,3.49422e-14
0.0023236,3.77618e-14
0.00247083,4.1629e-14
0.00262229,4.52301e-14
0.00279649,5.00905e-14
0.00298067,5.57995e-14
0.00316507,6.08944e-14
0.0033672,6.6627e-14
0.00358224,7.441e-14
0.00381102,8.29973e-14
0.0040544,9.24571e-14
0.00431333,1.02995e-13
0.0045888,1.14881e-13
0.00488185,1.28139e-13
0.00519363,1.43664e-13
0.00552532,1.60862e-13
0.00587819,1.80352e-13
0.0062536,2.02722e-13
0.00665298,2.27283e-13
0.00707787,2.55475e-13
0.0075299,2.87533e-13
0.00801079,3.23615e-13
0.00852241,3.65162e-13
0.00906669,4.1257e-13
0.00964575,4.67333e-13
0.0102618,5.28689e-13
0.0109172,5.98865e-13
0.0116144,6.81853e-13
0.0123562,7.74349e-13
0.0131453,8.80525e-13
0.0139849,1.00512e-12
0.014878,1.15031e-12
0.0158282,1.3114e-12
0.0168392,1.50082e-12
0.0179146,1.71539e-12
0.0190588,1.96822e-12
0.020276,2.26122e-12
0.021571,2.59116e-12
0.0229487,2.97689e-12
0.0244144,3.43765e-12
0.0259737,3.95956e-12
0.0276326,4.56658e-12
0.0293975,5.26664e-12
0.0312751,6.09745e-12
0.0332726,7.08662e-12
0.0353977,8.22569e-12
0.0376585,9.53558e-12
0.0400637,1.11396e-11
0.0426226,1.30134e-11
0.0453449,1.52025e-11
0.0482412,1.78513e-11
0.0513224,2.10426e-11
0.0546004,2.45823e-11
0.0580878,2.89396e-11
0.0617979,3.40695e-11
0.0657451,4.02632e-11
0.0699443,4.75833e-11
0.0744118,5.6234e-11
0.0791646,6.64577e-11
0.0842211,7.89446e-11
0.0896005,9.35371e-11
0.0953235,1.11112e-10
0.101412,1.32499e-10
0.10789,1.58002e-10
0.114781,1.89143e-10
0.122112,2.26129e-10
0.129912,2.71393e-10
0.13821,3.26555e-10
0.147038,3.95461e-10
0.156431,4.80139e-10
0.166423,5.84452e-10
0.177053,7.1693e-10
0.188363,8.82834e-10
0.200396,1.09133e-9
0.213197,1.35253e-9
0.226815,1.68057e-9
0.241304,2.09354e-9
0.256719,2.61807e-9
0.273118,3.27821e-9
0.290565,4.14722e-9
0.309127,5.23989e-9
0.328875,6.77533e-9
0.349886,8.86259e-9
0.37224,1.18337e-8
0.394911,1.63103e-8
0.415441,2.22748e-8
0.428508,2.64856e-8
