mass, coupling
1.03861e-3, 1.11104e-14
1.10494e-3, 1.23291e-14
1.17550e-3, 1.37874e-14
1.25057e-3, 1.52801e-14
1.33044e-3, 1.68476e-14
1.41540e-3, 1.8552e-14
1.50579e-3, 2.0298e-14
1.60195e-3, 2.22083e-14
1.70425e-3, 2.42984e-14
1.81309e-3, 2.65853e-14
1.92887e-3, 2.90501e-14
2.05205e-3, 3.13539e-14
2.18958e-3, 3.49422e-14
2.32360e-3, 3.77618e-14
2.47083e-3, 4.1629e-14
2.62229e-3, 4.52301e-14
2.79649e-3, 5.00905e-14
2.98067e-3, 5.57995e-14
3.16507e-3, 6.08944e-14
3.36720e-3, 6.6627e-14
3.58224e-3, 7.441e-14
3.81102e-3, 8.29973e-14
4.05440e-3, 9.24571e-14
4.31333e-3, 1.02995e-13
4.58880e-3, 1.14881e-13
4.88185e-3, 1.28139e-13
5.19363e-3, 1.43664e-13
5.52532e-3, 1.60862e-13
5.87819e-3, 1.80352e-13
6.25360e-3, 2.02722e-13
6.65298e-3, 2.27283e-13
7.07787e-3, 2.55475e-13
7.52990e-3, 2.87533e-13
8.01079e-3, 3.23615e-13
8.52241e-3, 3.65162e-13
9.06669e-3, 4.1257e-13
9.64575e-3, 4.67333e-13
1.02618e-2, 5.28689e-13
1.09172e-2, 5.98865e-13
1.16144e-2, 6.81853e-13
1.23562e-2, 7.74349e-13
1.31453e-2, 8.80525e-13
1.39849e-2, 1.00512e-12
1.48780e-2, 1.15031e-12
1.58282e-2, 1.3114e-12
1.68392e-2, 1.50082e-12
1.79146e-2, 1.71539e-12
1.90588e-2, 1.96822e-12
2.02760e-2, 2.26122e-12
2.15710e-2, 2.59116e-12
2.29487e-2, 2.97689e-12
2.44144e-2, 3.43765e-12
2.59737e-2, 3.95956e-12
2.76326e-2, 4.56658e-12
2.93975e-2, 5.26664e-12
3.12751e-2, 6.09745e-12
3.32726e-2, 7.08662e-12
3.53977e-2, 8.22569e-12
3.76585e-2, 9.53558e-12
4.00637e-2, 1.11396e-11
4.26226e-2, 1.30134e-11
4.53449e-2, 1.52025e-11
4.82412e-2, 1.78513e-11
5.13224e-2, 2.10426e-11
5.46004e-2, 2.45823e-11
5.80878e-2, 2.89396e-11
6.17979e-2, 3.40695e-11
6.57451e-2, 4.02632e-11
6.99443e-2, 4.75833e-11
7.44118e-2, 5.6234e-11
7.91646e-2, 6.64577e-11
8.42211e-2, 7.89446e-11
8.96005e-2, 9.35371e-11
9.53235e-2, 1.11112e-10
1.01412e-1, 1.32499e-10
1.07890e-1, 1.58002e-10
1.14781e-1, 1.89143e-10
1.22112e-1, 2.26129e-10
1.29912e-1, 2.71393e-10
1.38210e-1, 3.26555e-10
1.47038e-1, 3.95461e-10
1.56431e-1, 4.80139e-10
1.66423e-1, 5.84452e-10
1.77053e-1, 7.1693e-10
1.88363e-1, 8.82834e-10
2.00396e-1, 1.09133e-09
2.13197e-1, 1.35253e-09
2.26815e-1, 1.68057e-09
2.41304e-1, 2.09354e-09
2.56719e-1, 2.61807e-09
2.73118e-1, 3.27821e-09
2.90565e-1, 4.14722e-09
3.09127e-1, 5.23989e-09
3.28875e-1, 6.77533e-09
3.49886e-1, 8.86259e-09
3.72240e-1, 1.18337e-08
3.94911e-1, 1.63103e-08
4.15441e-1, 2.22748e-08
4.28508e-1, 2.64856e-08
